# FDS orbit events product (sample)
# ICD: docs/ICD_FDS_ORBIT_EVENTS.md, version 1.0
# coverage: 2026-01-01T00:00:00Z .. 2026-01-02T02:00:00Z
event_time_utc,event_type,station_id
2026-01-01T01:00:00Z,UMBRA_ENTRY,
2026-01-01T01:35:00Z,UMBRA_EXIT,
2026-01-01T01:40:00Z,AOS,GS-1
2026-01-01T01:48:00Z,LOS,GS-1
2026-01-01T02:35:00Z,UMBRA_ENTRY,
2026-01-01T03:10:00Z,UMBRA_EXIT,
2026-01-01T04:10:00Z,UMBRA_ENTRY,
2026-01-01T04:45:00Z,UMBRA_EXIT,
2026-01-01T05:45:00Z,UMBRA_ENTRY,
2026-01-01T06:20:00Z,UMBRA_EXIT,
2026-01-01T07:20:00Z,UMBRA_ENTRY,
2026-01-01T07:40:00Z,AOS,GS-2
2026-01-01T07:48:00Z,LOS,GS-2
2026-01-01T07:55:00Z,UMBRA_EXIT,
2026-01-01T08:55:00Z,UMBRA_ENTRY,
2026-01-01T09:30:00Z,UMBRA_EXIT,
2026-01-01T10:30:00Z,UMBRA_ENTRY,
2026-01-01T11:05:00Z,UMBRA_EXIT,
2026-01-01T12:05:00Z,UMBRA_ENTRY,
2026-01-01T12:40:00Z,UMBRA_EXIT,
2026-01-01T13:40:00Z,AOS,GS-1
2026-01-01T13:40:00Z,UMBRA_ENTRY,
2026-01-01T13:48:00Z,LOS,GS-1
2026-01-01T14:15:00Z,UMBRA_EXIT,
2026-01-01T15:15:00Z,UMBRA_ENTRY,
2026-01-01T15:50:00Z,UMBRA_EXIT,
2026-01-01T16:50:00Z,UMBRA_ENTRY,
2026-01-01T17:25:00Z,UMBRA_EXIT,
2026-01-01T18:25:00Z,UMBRA_ENTRY,
2026-01-01T19:00:00Z,UMBRA_EXIT,
2026-01-01T19:40:00Z,AOS,GS-2
2026-01-01T19:48:00Z,LOS,GS-2
2026-01-01T20:00:00Z,UMBRA_ENTRY,
2026-01-01T20:35:00Z,UMBRA_EXIT,
2026-01-01T21:35:00Z,UMBRA_ENTRY,
2026-01-01T22:10:00Z,UMBRA_EXIT,
2026-01-01T23:10:00Z,UMBRA_ENTRY,
2026-01-01T23:45:00Z,UMBRA_EXIT,
2026-01-02T00:45:00Z,UMBRA_ENTRY,
2026-01-02T01:20:00Z,UMBRA_EXIT,
2026-01-02T01:40:00Z,AOS,GS-1
2026-01-02T01:48:00Z,LOS,GS-1
